ticker,company,sector,industry,country,market_cap,pe,ps,pb,p_free_cash_flow,dividend_yield,performance_half_year,price,evebitda,bb,pe_rank,ps_rank,pb_rank,bby,shy,pfcf_rank,evebitda_rank,rank
A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,USA,18221.40,25.18,2.69,3.34,24.13,0.97,6.49,54.65,12.62,0,0.0,0.0,68.34295136026381,-0.0,0.97,50,50,100.0
AA,"Alcoa, Inc.",Basic Materials,Aluminum,USA,14617.68,0.0,0.65,1.32,0.0,0.88,59.91,13.56,9.07,0,0.0,0.0,0.0,-0.0,0.88,50,50,100.0
AAL,American Airlines Group Inc.,Services,Major Airlines,USA,16691.81,0.0,0.62,0.0,0.0,0.0,71.68,35.4,9.15,0,0.0,13.712558395163507,0.0,-0.0,0.0,50,50,113.71255839516351
AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,2310.75,0.0,32.27,305.64,0.0,0.0,82.59,975.0,72.5,0,0.0,96.7848309975268,99.8076394613905,-0.0,0.0,50,50,196.7848309975268
AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,2116.93,18.61,0.95,1.94,8.59,0.27,1.03,29.41,8.1,0,0.0,0.0,0.0,-0.0,0.27,50,50,100.0
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,346.36,0.0,4.42,4.72,0.0,0.0,130.34,23.61,94.59,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
AAON,AAON Inc.,Industrial Goods,General Building Materials,USA,978.82,29.67,3.05,5.97,26.45,0.75,0.38,26.7,13.29,0,78.12585875240451,0.0,86.50728222039021,-0.0,0.75,50,50,178.1258587524045
AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores,USA,8814.07,22.63,1.36,5.8,26.56,0.2,25.8,120.84,9.57,0,64.88046166529267,0.0,85.7653201428964,-0.0,0.2,50,50,164.88046166529267
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,468241.23,13.02,2.69,3.63,14.02,2.32,6.0,524.94,7.75,0,37.51030502885408,0.0,0.0,-0.0,2.32,50,50,137.51030502885408
AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1342.97,95.0,5.26,2.04,0.0,2.65,3.71,33.25,15.92,0,94.97114591920858,79.03270129156361,0.0,-0.0,2.65,50,50,274.00384721077216
AAV,Advantage Oil & Gas Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,964.24,0.0,4.14,0.39,0.0,0.0,50.39,5.73,8.49,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
AAWW,Atlas Air Worldwide Holdings Inc.,Services,"Air Services, Other",USA,885.16,9.63,0.53,0.67,0.0,0.0,-20.6,35.35,7.35,0,31.052486946963455,11.074471008518824,0.0,-0.0,0.0,50,50,142.12695795548228
AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2439.16,14.77,13.12,1.53,195.13,9.45,27.77,25.4,0,0.0,93.43226161033252,0.0,-0.0,9.45,50,50,193.43226161033252
ABAX,Abaxis Inc.,Healthcare,Diagnostic Substances,USA,871.53,51.54,4.85,4.67,35.28,0.0,0.62,39.17,25.43,0,90.16213245397087,0.0,0.0,-0.0,0.0,50,50,190.16213245397086
ABB,ABB Ltd.,Industrial Goods,Diversified Machinery,Switzerland,60335.34,21.23,1.44,3.19,68.56,2.78,11.49,25.9,10.69,0,61.36301181643309,0.0,0.0,-0.0,2.78,50,50,161.36301181643307
