ticker,company,sector,industry,country,market_cap,pe,ps,pb,p_free_cash_flow,dividend_yield,performance_half_year,price,bb,pe_rank,ps_rank,pb_rank,pfcf_rank,bby,shy,shy_rank,evebitda_rank,rank,ovr_rank
A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,USA,12070000000.0,33.86,2.17,2.91,294.43,1.1,-12.75,36.23,85000000,17.013801756587203,51.84441656210791,32.14554579673777,1.6813048933500627,-0.7042253521126761,0.39577464788732397,44.06524466750314,50,196.75031367628608,11.191969887076537
AA,Alcoa Inc.,Basic Materials,Aluminum,USA,11430000000.0,17.46,0.47,0.87,21.29,1.37,-43.42,8.73,-1271000000,43.638644918444164,89.36010037641154,80.05018820577165,29.15934755332497,11.119860017497812,12.489860017497811,89.98745294855709,50,382.1957340025094,86.57465495608531
AAC,"AAC Holdings, Inc.",Healthcare,Specialized Health Services,USA,544560000.0,37.38,3.2,4.71,0.0,0.0,-24.3,24.3,-55395000,15.081555834378921,40.978670012547056,17.84190715181932,99.92471769134254,10.172432789775232,10.172432789775232,87.25219573400251,50,311.07904642409034,54.077791718946045
AAL,American Airlines Group Inc.,Services,Major Airlines,USA,26700000000.0,6.84,0.64,7.53,0.0,1.01,-22.19,39.75,1964000000,69.73651191969887,84.51693851944793,9.084065244667503,99.8996235884567,-7.355805243445693,-6.345805243445693,4.265997490589712,50,317.5031367628607,56.33626097867002
AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,2740000000.0,22.78,0.9,2.08,19.09,0.24,24.65,37.82,-1668000,30.062735257214555,77.08908406524468,45.269761606022584,31.969887076537013,0.06087591240875913,0.3008759124087591,42.15809284818068,50,276.5495608531995,37.08908406524466
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,300740000.0,41.44,1.97,2.44,0.0,0.0,97.71,19.89,-524000,13.02383939774153,54.50439146800502,39.046424090338775,99.84943538268507,0.17423688235685308,0.17423688235685308,40.025094102885824,50,296.4491844416562,46.92597239648683
AAON,AAON Inc.,Industrial Goods,General Building Materials,USA,1180000000.0,28.14,3.31,6.26,67.54,1.02,-7.75,21.67,27392000,22.1831869510665,39.87452948557089,11.744040150564619,8.005018820577165,-2.3213559322033896,-1.3013559322033896,15.734002509410288,50,147.54077791718947,2.4592220828105393
AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores,USA,12990000000.0,26.46,1.31,6.05,26.65,0.14,13.04,177.54,1178000,24.24090338770389,66.4491844416562,12.496863237139271,23.638644918444164,-0.009068514241724402,0.13093148575827562,39.07151819322459,50,215.89711417816812,16.135508155583437
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,603120000000.0,12.21,2.69,4.82,10.41,1.97,-19.79,105.76,38381000000,58.82057716436637,46.097867001254706,17.164366373902133,44.291091593475535,-6.363741875580316,-4.393741875580316,7.5784190715181925,50,223.95232120451695,18.393977415307404
AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1840000000.0,83.63,6.9,2.31,0.0,2.27,-2.67,40.98,-88205000,4.993726474278545,21.129234629861983,41.12923462986198,99.74905897114178,4.79375,7.063750000000001,82.43412797992472,50,299.435382685069,48.58218318695107
