ticker,company,sector,industry,country,market_cap,pe,ps,pb,p_free_cash_flow,dividend_yield,performance_half_year,price,evebitda,bb,pe_rank,ps_rank,pb_rank,pfcf_rank,bby,shy,shy_rank,evebitda_rank,rank,ovr_rank
A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,USA,12070000000.0,38.14,2.51,2.93,12.44,1.1,-12.75,36.23,0.0,85000000,15.17478813559322,44.75635593220339,33.659957627118644,43.88241525423729,-0.7042253521126761,0.39577464788732397,46.10699152542373,99.9715343011671,283.55204277574336,41.73728813559322
AA,Alcoa Inc.,Basic Materials,Aluminum,USA,11430000000.0,17.46,0.47,0.87,21.29,1.37,-43.42,8.73,0.0,-1271000000,44.99470338983051,88.98305084745762,82.46822033898306,30.85275423728814,11.119860017497812,12.489860017497811,89.61864406779661,99.94306860233418,436.8604414836901,95.70974576271186
AAC,"AAC Holdings, Inc.",Healthcare,Specialized Health Services,USA,544560000.0,37.38,3.2,4.71,0.0,0.0,-24.3,24.3,0.0,-55395000,15.545550847457626,37.73834745762712,18.670550847457626,99.92055084745762,10.172432789775232,10.172432789775232,87.07627118644068,99.91460290350128,358.86587408994194,73.25211864406779
AAL,American Airlines Group Inc.,Services,Major Airlines,USA,26700000000.0,6.84,0.64,7.53,0.0,1.01,-22.19,39.75,0.0,1964000000,69.65042372881356,83.6864406779661,9.507415254237287,99.89406779661016,-7.355805243445693,-6.345805243445693,4.475635593220339,99.88613720466837,367.10012025551583,76.0593220338983
AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,2740000000.0,22.78,0.9,2.08,19.09,0.24,24.65,37.82,0.0,-1668000,30.826271186440678,76.00635593220339,47.66949152542373,33.73940677966102,0.06087591240875913,0.3008759124087591,44.17372881355932,99.85767150583547,332.2729257431236,63.13559322033898
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,300740000.0,41.44,1.97,2.44,0.0,0.0,97.71,19.89,0.0,-524000,13.453389830508474,52.065677966101696,41.18114406779661,99.84110169491525,0.17423688235685308,0.17423688235685308,41.97563559322034,99.82920580700257,348.34615495954495,69.20021186440678
AAON,AAON Inc.,Industrial Goods,General Building Materials,USA,1180000000.0,28.14,3.31,6.26,67.54,1.02,-7.75,21.67,0.0,27392000,22.960805084745765,36.59957627118644,12.367584745762713,8.501059322033898,-2.3213559322033896,-1.3013559322033896,16.551906779661017,99.80074010816966,196.7816723115595,12.73834745762712
AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores,USA,12990000000.0,26.46,1.31,6.05,26.65,0.14,13.04,177.54,0.0,1178000,24.947033898305087,64.59216101694916,13.241525423728815,24.735169491525426,-0.009068514241724402,0.13093148575827562,40.96927966101695,99.77227440933675,268.2574439008622,34.82521186440678
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,603120000000.0,12.21,2.69,4.82,10.41,1.97,-19.79,105.76,0.0,38381000000,60.77860169491526,43.034957627118644,18.08792372881356,47.11334745762712,-6.363741875580316,-4.393741875580316,7.9184322033898304,99.74380871050384,276.6770714223683,38.71822033898305
AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1840000000.0,83.63,6.9,2.31,0.0,2.27,-2.67,40.98,0.0,-88205000,5.217161016949152,16.896186440677965,43.43220338983051,99.73516949152543,4.79375,7.063750000000001,82.70656779661016,99.71534301167094,347.7026311472641,68.93538135593221
AAV,Advantage Oil & Gas Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,852000000.0,16.7,7.42,1.02,0.0,0.0,-4.75,5.01,0.0,0,47.64300847457627,15.598516949152541,77.54237288135593,99.70868644067797,-0.0,0.0,25.55614406779661,99.68687731283804,365.73560612639733,75.55614406779661
AAVL,"Avalanche Biotechnologies, Inc.",Healthcare,Biotechnology,USA,272720000.0,0.0,340.9,1.0,0.0,0.0,-71.2,10.62,0.0,-302417000,99.6822033898305,4.608050847457627,78.15148305084746,99.6822033898305,110.88919037841009,110.88919037841009,99.86758474576271,99.65841161400513,481.64993703773393,99.02012711864407
AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,1050000000.0,8.26,0.56,0.69,4.93,0.0,-12.37,41.78,0.0,-16119000,68.48516949152543,85.64618644067797,87.1822033898305,53.019067796610166,1.5351428571428571,1.5351428571428571,59.269067796610166,99.62994591517221,453.2316408304265,97.48411016949152
